Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Norfolk Community Services Board,NCSB-Youth Services,Counselor III,Permanent Full-time,10/23/2001,08/23/2006,Nonexempt,63487.74
Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Counselor III,Permanent Full-time,10/25/2021,10/25/2021,Nonexempt,50970.68
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,05/23/2000,05/04/2024,Nonexempt,58139.00
Norfolk Community Services Board,NCSB-Substance Abuse Svs Adm,Programs Manager,Permanent Full-time,06/23/2005,12/17/2022,Exempt,78750.00
Norfolk Community Services Board,Clinical Acute Services Admin,Division Head,Permanent Full-time,04/01/1986,09/08/2007,Exempt,121813.68
Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Nurse Coordinator - Supervisor,Permanent Full-time,03/23/2000,05/13/2019,Exempt,82025.00
Norfolk Community Services Board,NCSB-Infant Development,Case Manager III,Permanent Full-time,10/21/2023,10/21/2023,Nonexempt,49514.30
Norfolk Community Services Board,NCSB-Executive Directors Offic,Management Analyst III,Special Project w/ Retirement,05/06/2023,05/06/2023,Exempt,73500.00
Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Licensed Practical Nurse,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,50546.72
Norfolk Community Services Board,NCSB- Mental Health Counseling,Clinician,Permanent Full-time,02/26/2007,11/19/2022,Exempt,73293.15
Norfolk Community Services Board,NCSB-Infant Development,Program Administrator,Permanent Full-time,07/09/2007,10/23/2010,Exempt,74124.46
Norfolk Community Services Board,NCSB-Substance Abuse Svs Adm,Clinical Coordinator,Permanent Full-time,03/23/2001,02/23/2007,Exempt,68790.87
Norfolk Community Services Board,NCSB-Financial Management,Operations Controller,Permanent Full-time,01/08/2007,05/26/2015,Exempt,99649.31
Norfolk Community Services Board,NCSB-Financial Management,Reimbursement Supervisor,Permanent Full-time,02/08/2011,01/28/2023,Exempt,72450.00
Norfolk Community Services Board,NCSB - Housing & Homeless Serv,Programs Manager,Special Project w/ Retirement,04/23/2007,02/27/2023,Exempt,72450.00
Norfolk Community Services Board,NCSB-Case Management,Administrative Assistant II,Permanent Full-time,11/12/1991,06/23/2008,Nonexempt,50906.43
Norfolk Community Services Board,NCSB - Housing & Homeless Serv,Division Head,Permanent Full-time,05/23/2005,08/15/2022,Exempt,86100.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager II,Permanent Full-time,05/18/2024,05/18/2024,Nonexempt,46416.00
Norfolk Community Services Board,NCSB-PACT,Mental Health Professional,Permanent Full-time,01/23/2007,01/23/2007,Nonexempt,58919.00
Norfolk Community Services Board,NCSB-Financial Management,Accounting Technician II,Permanent Full-time,06/03/2023,06/03/2023,Nonexempt,41828.85
Norfolk Community Services Board,NCSB-Intensive Outpatient,Clinician,Permanent Full-time,03/23/2010,07/01/2014,Exempt,93467.26
Norfolk Community Services Board,NCSB-Mental Health Svs Admin,Reimbursement Technician,Permanent Full-time,11/26/2007,11/23/2020,Nonexempt,42345.00
Norfolk Community Services Board,NCSB-Case Management,Program Administrator,Permanent Full-time,12/02/1991,08/28/2021,Exempt,59874.00
Norfolk Community Services Board,NCSB-Emergency Services,Emergency Svc Counselor,Permanent Full-time,07/08/2014,07/08/2014,Exempt,55392.73
Norfolk Community Services Board,NCSB-Child&AdolesentSvcs Admin,Programs Manager,Permanent Full-time,09/08/2008,09/13/2021,Exempt,67669.25
Norfolk Community Services Board,NCSB-PACT,Nurse Coordinator - Supervisor,Permanent Full-time,04/20/2024,04/20/2024,Exempt,80000.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager IV,Permanent Full-time,09/26/2020,02/27/2023,Exempt,60637.50
Norfolk Community Services Board,NCSB- Mental Health Counseling,Clinician,Permanent Full-time,08/15/2022,12/18/2023,Exempt,64686.32
Norfolk Community Services Board,Shelter and Support Services,Program Supervisor,Permanent Full-time,03/25/2023,06/04/2024,Exempt,55392.75
Norfolk Community Services Board,NCSB- Mental Health Counseling,Administrative Assistant II,Permanent Full-time,01/25/2010,07/06/2021,Nonexempt,47061.00
Norfolk Community Services Board,Shelter and Support Services,Family Services Associate,Permanent Full-time,08/26/2023,03/11/2024,Nonexempt,49177.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager IV,Permanent Full-time,01/03/2022,10/17/2023,Exempt,55951.32
Norfolk Community Services Board,NCSB-Medical Services,Registered Nurse,Permanent Full-time,03/11/2023,03/11/2023,Exempt,78750.00
Norfolk Community Services Board,NCSB-Infant Development,Administrative Assistant I,Permanent Full-time,02/14/2022,02/14/2022,Nonexempt,42398.84
Norfolk Community Services Board,NCSB- Mental Health Counseling,Clinician,Retiree Part-time,04/30/1997,09/08/2016,Exempt,35.54
Norfolk Community Services Board,NCSB-Case Management,Case Manager II,Permanent Full-time,05/18/2024,05/18/2024,Nonexempt,46416.30
Norfolk Community Services Board,NCSB-Medical Services,Psychiatrist,Permanent Full-time,05/31/2011,05/01/2015,Exempt,262000.00
Norfolk Community Services Board,NCSB-Mental Health Svs Admin,Administrative Assistant I,Permanent Full-time,08/01/2020,04/23/2022,Nonexempt,44398.00
Norfolk Community Services Board,NCSB-Emergency Services,Administrative Assistant I,Permanent Full-time,01/28/2023,01/28/2023,Nonexempt,42219.24
Norfolk Community Services Board,NCSB-Emergency Services,Clinician,Retiree Part-time,08/10/1989,05/23/2022,Exempt,34.35
Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Licensed Practical Nurse,Permanent Full-time,06/06/2022,06/06/2022,Nonexempt,54463.50
Norfolk Community Services Board,NCSB Homeless Project,Management Analyst II,Special Project w/ Retirement,02/01/2010,12/06/2021,Exempt,57564.19
Norfolk Community Services Board,NCSB-Treatment Specialty Court,Case Manager IV,Permanent Full-time,12/08/2003,05/29/2018,Exempt,53107.95
Norfolk Community Services Board,NCSB- Mental Health Counseling,Clinician,Permanent Full-time,01/18/2022,05/04/2024,Exempt,63838.78
Norfolk Community Services Board,NCSB-Drug Court,Counselor III,Permanent Full-time,09/25/2006,01/11/2016,Nonexempt,52386.09
Norfolk Community Services Board,NCSB-Emergency Services,Emergency Svc Counselor,Casual Part-time,12/03/2022,10/21/2023,Exempt,29.16
Norfolk Community Services Board,NCSB-Case Management,Program Administrator,Permanent Full-time,07/23/2014,02/25/2023,Exempt,57679.65
Norfolk Community Services Board,NCSB -Forensic Jail Div,Case Manager III,Special Project w/ Retirement,02/14/2022,02/14/2022,Nonexempt,25.50
Norfolk Community Services Board,NCSB-PACT,Psychiatrist,Permanent Full-time,07/05/2011,07/05/2011,Exempt,275000.00
Norfolk Community Services Board,NCSB-Infant Development,Case Manager III,Permanent Full-time,04/08/2015,08/05/2016,Nonexempt,55650.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,03/23/2024,03/25/2024,Nonexempt,54016.00
Norfolk Community Services Board,NCSB-Prevention Services,Program Coordinator,Permanent Full-time,06/23/2008,08/12/2023,Nonexempt,58274.99
Norfolk Community Services Board,NCSB-Financial Management,Accountant III,Permanent Full-time,12/05/2020,07/29/2023,Exempt,57903.00
Norfolk Community Services Board,NCSB-Intake,Licensed Practical Nurse,Permanent Full-time,04/20/2024,04/20/2024,Nonexempt,48000.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager I,Permanent Full-time,11/18/2023,11/18/2023,Nonexempt,39837.00
Norfolk Community Services Board,NCSB-Emergency Services,Emergency Svc Counselor,Permanent Full-time,10/16/1990,03/23/2011,Exempt,76916.25
Norfolk Community Services Board,NCSB- Mental Health Counseling,Counselor IV,Special Project w/ Retirement,08/30/2021,03/10/2023,Exempt,53419.43
Norfolk Community Services Board,NCSB Homeless Project,Case Manager III,Special Project w/ Retirement,07/15/2023,07/15/2023,Nonexempt,21.64
Norfolk Community Services Board,NCSB-Board Operations,Management Analyst III,Permanent Full-time,05/10/2004,08/10/2015,Exempt,71496.94
Norfolk Community Services Board,NCSB-Infant Development,Case Manager III,Permanent Full-time,04/10/2021,07/29/2023,Nonexempt,50044.00
Norfolk Community Services Board,NCSB-PACT,Practice Manager,Permanent Full-time,11/23/1999,11/23/1999,Exempt,56500.59
Norfolk Community Services Board,NCSB-Financial Management,Accountant I,Permanent Full-time,12/06/2021,03/14/2022,Nonexempt,46336.97
Norfolk Community Services Board,NCSB - Forensic Services,Programs Manager,Permanent Full-time,07/01/1986,07/23/2005,Exempt,85908.22
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,03/14/2022,03/14/2022,Nonexempt,55952.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,11/19/2022,05/04/2024,Nonexempt,52684.95
Norfolk Community Services Board,ITCN Grant,Early Childhood Spec Educator,Special Project w/ Retirement,10/01/2014,10/29/2018,Exempt,65761.50
Norfolk Community Services Board,NCSB-Board Administration,Maintenance Mechanic I,Permanent Full-time,11/19/2022,01/30/2023,Nonexempt,42441.00
Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Physician,Casual Part-time,10/24/2005,10/24/2005,Exempt,150.00
Norfolk Community Services Board,NCSB-Medical Services,Pharmacist,Permanent Part-time,03/11/2023,03/11/2023,Exempt,57876.00
Norfolk Community Services Board,NCSB- Mental Health Counseling,Case Manager III,Permanent Full-time,08/29/2022,08/29/2022,Nonexempt,51765.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager IV,Permanent Full-time,03/24/2008,12/08/2016,Exempt,61855.00
Norfolk Community Services Board,NCSB-Intake,Clinical Coordinator,Permanent Full-time,07/23/2014,02/10/2024,Exempt,80450.94
Norfolk Community Services Board,ITCN Grant,Early Childhood Spec Educator,Special Project w/ Retirement,05/06/2023,09/09/2023,Exempt,60256.56
Norfolk Community Services Board,NCSB-Management Info Systems,Records & Information Clerk,Permanent Full-time,11/19/2022,11/19/2022,Nonexempt,43636.32
Norfolk Community Services Board,Shelter and Support Services,Human Services Aide,Permanent Full-time,03/11/2023,03/11/2023,Nonexempt,39312.00
Norfolk Community Services Board,Shelter and Support Services,Human Services Aide,Permanent Full-time,03/11/2023,03/11/2023,Nonexempt,39312.00
Norfolk Community Services Board,NCSB-Emergency Services,Emergency Svc Counselor,Permanent Full-time,04/20/2004,11/19/2022,Exempt,58030.00
Norfolk Community Services Board,NCSB-Crisis Stabilization,Family Services Worker II,Permanent Full-time,04/08/2016,12/18/2023,Nonexempt,55074.29
Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Clinical Supervisor,Permanent Full-time,08/13/2001,07/06/2021,Exempt,78052.56
Norfolk Community Services Board,NCSB-Day Health & Rehabil Svs,Case Manager III,Permanent Full-time,04/25/2022,04/25/2022,Nonexempt,53287.52
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,02/29/2020,08/27/2022,Nonexempt,49694.00
Norfolk Community Services Board,NCSB Homeless Project,Peer Recovery Specialist II,SpecialProject PTw/Retirement,05/16/2017,05/16/2017,Nonexempt,25.32
Norfolk Community Services Board,NCSB-Financial Management,Accounting Supervisor,Permanent Full-time,09/05/2017,11/12/2019,Exempt,72756.60
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,11/19/2022,05/04/2024,Nonexempt,52684.95
Norfolk Community Services Board,NCSB-Medical Services,Licensed Practical Nurse,Permanent Part-time,04/13/2019,04/13/2019,Nonexempt,30555.00
Norfolk Community Services Board,NCSB-Intensive Outpatient,Counselor III,Permanent Full-time,02/21/2017,04/20/2024,Nonexempt,51764.95
Norfolk Community Services Board,ITCN Grant,Case Manager IV,Special Project w/ Retirement,11/25/2019,11/19/2022,Exempt,55387.50
Norfolk Community Services Board,NCSB-PACT,Licensed Practical Nurse,Special Project w/ Retirement,04/03/2017,03/14/2022,Nonexempt,25.62
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,06/03/2023,05/04/2024,Nonexempt,51765.00
Norfolk Community Services Board,NCSB-Management Info Systems,Programs Manager,Permanent Full-time,12/09/2013,12/09/2013,Exempt,81133.82
Norfolk Community Services Board,NCSB-Youth Activity Admin,Division Head,Special Project w/ Retirement,02/05/2018,02/05/2018,Exempt,88353.00
Norfolk Community Services Board,Shelter and Support Services,Case Manager III,Special Project w/ Retirement,11/05/2022,11/05/2022,Nonexempt,24.89
Norfolk Community Services Board,Clinical Acute Services Admin,Administrative Assistant II,Permanent Full-time,02/08/2012,02/08/2012,Nonexempt,51348.39
Norfolk Community Services Board,NCSB-Emergency Services,Emergency Svc Counselor,Permanent Full-time,03/23/2012,06/05/2023,Exempt,66555.72
Norfolk Community Services Board,NCSB-Crisis Stabilization,Peer Recovery Specialist III,Permanent Full-time,01/27/2024,01/27/2024,Nonexempt,47365.05
Norfolk Community Services Board,NCSB-Financial Management,Administrative Manager,Permanent Full-time,09/17/2001,07/08/2014,Exempt,78043.35
Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Counselor III,Permanent Full-time,06/01/2024,06/01/2024,Nonexempt,54016.00
Norfolk Community Services Board,Shelter and Support Services,Program Administrator,Permanent Full-time,07/02/2003,07/16/2022,Exempt,62451.90
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,10/22/2022,10/22/2022,Nonexempt,53500.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,03/06/2017,06/06/2022,Nonexempt,52993.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,05/08/2021,05/18/2024,Nonexempt,50414.00
Norfolk Community Services Board,NCSB-Drug Court,Counselor III,Permanent Full-time,05/01/1997,06/23/1999,Nonexempt,68368.24
Norfolk Community Services Board,NCSB-Intake,Psychiatrist,Casual Part-time,04/25/2020,04/25/2020,Exempt,170.34
Norfolk Community Services Board,NCSB-Financial Management,Management Analyst II,Permanent Full-time,01/16/2024,01/16/2024,Exempt,60668.25
Norfolk Community Services Board,Shelter and Support Services,Human Services Aide,Permanent Full-time,04/08/2023,04/08/2023,Nonexempt,39312.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,07/29/2023,07/29/2023,Nonexempt,51765.00
Norfolk Community Services Board,NCSB-Substance Abuse Svs Adm,Support Technician,Permanent Full-time,03/08/2004,11/09/2020,Nonexempt,39312.00
Norfolk Community Services Board,NCSB-Intensive Outpatient,Counselor III,Permanent Full-time,11/15/2010,06/03/2023,Nonexempt,62393.52
Norfolk Community Services Board,NCSB-Board Access Unit (MH),Case Manager IV,Permanent Full-time,06/20/2023,06/20/2023,Exempt,56248.50
Norfolk Community Services Board,NCSB-Financial Management,Accountant II,Permanent Full-time,12/17/2022,03/23/2024,Exempt,48912.00
Norfolk Community Services Board,Shelter and Support Services,Maintenance Mechanic I,Permanent Full-time,02/27/2021,07/16/2022,Nonexempt,39575.00
Norfolk Community Services Board,NCSB-Intensive Outpatient,Counselor III,Permanent Full-time,10/23/2008,10/23/2008,Nonexempt,53433.91
Norfolk Community Services Board,NCSB-Day Health & Rehabil Svs,Case Manager III,Permanent Full-time,04/25/2022,04/25/2022,Nonexempt,53287.52
Norfolk Community Services Board,Shelter and Support Services,Human Services Aide,Permanent Full-time,12/19/2011,02/25/2023,Nonexempt,39312.00
Norfolk Community Services Board,SABG Prevention,Program Coordinator,Special Project w/ Retirement,12/30/2023,12/30/2023,Nonexempt,23.16
Norfolk Community Services Board,NCSB-Management Info Systems,Management Analyst II,Permanent Full-time,01/25/2016,05/06/2024,Exempt,63335.00
Norfolk Community Services Board,NCSB-Board Administration,Management Analyst I,Permanent Full-time,04/23/2015,04/23/2015,Exempt,50156.93
Norfolk Community Services Board,NCSB-Infant Development,Case Manager III,Permanent Full-time,03/25/2023,03/25/2023,Nonexempt,50414.70
Norfolk Community Services Board,NCSB-PACT,Mental Health Professional,Permanent Full-time,12/02/2023,12/02/2023,Nonexempt,56000.00
Norfolk Community Services Board,NCSB-PACT,Peer Recovery Specialist II,Permanent Full-time,07/08/2015,07/08/2015,Nonexempt,43395.07
Norfolk Community Services Board,NCSB-Management Info Systems,Records & Information Clerk,Permanent Full-time,11/23/2004,12/23/2004,Nonexempt,39312.00
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,04/10/2023,04/10/2023,Nonexempt,52755.00
Norfolk Community Services Board,NCSB-Homeless Project,Case Manager III,Permanent Full-time,08/01/2022,03/23/2024,Nonexempt,51765.00
Norfolk Community Services Board,NCSB Homeless Project,Human Services Aide,Special Project w/ Retirement,01/08/2018,10/08/2022,Nonexempt,18.90
Norfolk Community Services Board,NCSB-Crisis Stabilization,Peer Recovery Specialist III,Permanent Full-time,09/23/2023,09/23/2023,Nonexempt,47365.05
Norfolk Community Services Board,NCSB-Case Management,Program Supervisor,Permanent Full-time,01/03/2023,06/03/2024,Exempt,62637.05
Norfolk Community Services Board,NCSB- Mental Health Counseling,Case Manager III,Permanent Full-time,08/11/2003,08/11/2003,Nonexempt,60428.31
Norfolk Community Services Board,NCSB- Mental Health Counseling,Case Manager III,Permanent Full-time,02/26/2007,12/08/2015,Nonexempt,57680.70
Norfolk Community Services Board,NCSB STEP-VA FY 2023,Case Manager III,Special Project w/ Retirement,06/25/2007,04/22/2023,Nonexempt,24.89
Norfolk Community Services Board,NCSB-Case Management,Program Administrator,Permanent Full-time,08/14/2017,06/01/2024,Exempt,68912.60
Norfolk Community Services Board,NCSB-Medical Services,Administrative Technician,Permanent Full-time,11/09/2021,12/04/2023,Nonexempt,42000.00
Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Pharmacist,Permanent Part-time,03/02/2019,03/02/2019,Exempt,67458.60
Norfolk Community Services Board,NCSB - Housing & Homeless Serv,Programs Manager,Permanent Full-time,07/08/2014,06/05/2023,Exempt,62452.58
Norfolk Community Services Board,NCSB - Housing & Homeless Serv,Counselor III,Casual Part-time,09/15/2009,09/15/2009,Nonexempt,24.42
Norfolk Community Services Board,NCSB - Housing & Homeless Serv,Management Analyst I,Permanent Full-time,11/21/2020,11/21/2020,Exempt,47472.72
Norfolk Community Services Board,NCSB-Board Access Unit (MH),Administrative Technician,Permanent Full-time,01/10/2000,01/10/2000,Nonexempt,44275.25
Norfolk Community Services Board,NCSB-Day Health & Rehabil Svs,Case Manager III,Permanent Full-time,04/25/2022,04/25/2022,Nonexempt,53287.52
Norfolk Community Services Board,NCSB-Case Management,Case Manager I,Permanent Full-time,12/02/2023,12/02/2023,Nonexempt,43820.00
Norfolk Community Services Board,NCSB-Homeless Project,Case Manager IV,Permanent Full-time,04/03/1995,07/30/2022,Exempt,78169.02
Norfolk Community Services Board,NCSB-Medical Services,Pharmacist,Permanent Full-time,01/18/2022,01/18/2022,Exempt,144978.75
Norfolk Community Services Board,NCSB-Financial Management,Accountant III,Permanent Full-time,02/19/2019,05/22/2023,Exempt,58032.45
Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Permanent Full-time,04/13/2019,04/13/2019,Nonexempt,56500.00
Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Counselor III,Permanent Full-time,04/20/2024,04/20/2024,Nonexempt,53115.34
Norfolk Community Services Board,NCSB-PACT,Case Manager III,Permanent Full-time,10/26/2019,04/08/2024,Nonexempt,54016.00
Norfolk Community Services Board,Shelter and Support Services,Human Services Aide,Permanent Full-time,03/11/2023,03/11/2023,Nonexempt,39312.00
Norfolk Community Services Board,NCSB-Medical Services,Psychiatrist,Retiree Part-time,10/01/2001,03/02/2019,Exempt,138.99
Norfolk Community Services Board,NCSB- Mental Health Counseling,Clinician,Permanent Full-time,12/16/1988,11/08/2012,Exempt,71356.49
Ryan White,Ryan White Grant Admin,Fiscal Monitoring Spec II,Permanent Full-time,07/15/2023,07/15/2023,Exempt,60668.25
Ryan White,Ryan White Grant Admin,Contract Monitoring Spec,Permanent Full-time,09/12/2022,09/12/2022,Exempt,54600.00
Ryan White,Ryan White Grant Admin,Accounting Technician II,Permanent Full-time,12/19/2011,12/19/2011,Nonexempt,43871.25
Ryan White,RyanWhite Planning Council,Administrative Technician,Permanent Full-time,05/24/2004,08/08/2005,Nonexempt,44275.25
Ryan White,Ryan White Grant Admin,Programs Manager,Permanent Full-time,02/14/2005,08/08/2005,Exempt,112497.35
Ryan White,RyanWhite Quality Management,Contract Monitoring Spec,Permanent Full-time,06/15/2004,09/01/2008,Exempt,76429.06
Utilities,Utilities Water Distribution,Utility Maintenance Mech II,Permanent Full-time,08/20/2018,12/07/2020,Nonexempt,41106.18
Utilities,Utilities Water Quality,Water Chemist,Permanent Full-time,06/23/2016,02/16/2021,Exempt,46337.14
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,05/20/2023,05/20/2023,Nonexempt,39575.00
Utilities,Utilities Water Production,Electronics Technician II,Permanent Full-time,04/08/2023,04/08/2023,Nonexempt,51765.52
Utilities,Utilities Accounting&Budget,Accountant I,Permanent Full-time,03/09/2015,01/27/2024,Nonexempt,51765.00
Utilities,Utilities Water Distribution,Equipment Operator II,Permanent Full-time,12/10/2018,12/10/2018,Nonexempt,39837.00
Utilities,Utilities Water Distribution,Accounting Technician II,Permanent Full-time,05/23/2014,05/23/2014,Nonexempt,39837.00
Utilities,Utilities Director's Office,Public Information Spec II,Permanent Full-time,08/15/2022,08/15/2022,Exempt,56248.97
Utilities,Utilities Water Production,Chief Waterworks Operator,Permanent Full-time,09/06/2000,08/31/2021,Nonexempt,66133.32
Utilities,Utilities Accounting&Budget,Manager of Budget & Accounting,Permanent Full-time,08/23/2013,08/02/2021,Exempt,121275.00
Utilities,Utilities Water Production,Chief Waterworks Operator,Permanent Full-time,12/05/2020,02/12/2022,Nonexempt,75436.86
Utilities,Utilities Accounting&Budget,Accountant II,Permanent Full-time,10/24/1994,06/05/2023,Exempt,59115.00
Utilities,Utilities Water Accounts,Account Representative,Permanent Full-time,07/20/2019,07/20/2019,Nonexempt,39837.00
Utilities,Utilities Accounting&Budget,Accountant IV,Permanent Full-time,07/01/2002,06/03/2023,Exempt,67410.00
Utilities,Utilities Water Production,Utility Maintenance Mech III,Permanent Full-time,03/30/1987,06/08/2020,Nonexempt,46638.86
Utilities,Utilities Water Accounts,Management Analyst III,Permanent Full-time,08/15/2005,01/16/2024,Exempt,72000.00
Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Permanent Full-time,03/20/2000,01/22/2001,Nonexempt,41983.74
Utilities,Utilities Water Accounts,Account Representative,Permanent Full-time,12/16/2023,12/16/2023,Nonexempt,39837.00
Utilities,Utilities Water Production,Electronics Technician II,Permanent Full-time,03/14/2022,03/14/2022,Nonexempt,53287.13
Utilities,Utilities Water Production,Equipment Operator II,Permanent Full-time,09/09/2023,09/09/2023,Nonexempt,43631.00
Utilities,Utilities Engineering,Engineering Manager,Permanent Full-time,07/08/2014,05/24/2021,Exempt,129576.36
Utilities,Utilities Accounting&Budget,Financial Operations Mgr,Permanent Full-time,01/08/2007,09/14/2020,Exempt,86640.75
Utilities,Utilities Water Production,Utility Maintenance Mech I,Permanent Full-time,07/14/2005,10/24/2020,Nonexempt,39837.00
Utilities,Utilities Director's Office,Assistant Director,Permanent Full-time,08/06/2007,07/24/2023,Exempt,131897.04
Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Permanent Full-time,10/23/2015,11/25/2019,Nonexempt,39837.00
Utilities,Utilities Water Production,Utility Maintenance Mech III,Permanent Full-time,08/16/1993,04/23/2002,Nonexempt,59302.95
Utilities,Utilities Accounting&Budget,Accounting Manager,Permanent Full-time,06/21/2022,06/21/2022,Exempt,93712.50
Utilities,Utilities Water Accounts,Account Representative,Permanent Full-time,03/28/2022,03/28/2022,Nonexempt,39837.00
Utilities,Utilities Water Distribution,General Utility Maint Supv,Permanent Full-time,12/10/2012,05/23/2022,Exempt,66999.45
Utilities,Utilities Engineering,Construction Inspector I,Permanent Full-time,08/13/2001,03/27/2023,Nonexempt,46601.93
Utilities,Utilities Water Production,Support Technician,Permanent Full-time,06/23/2016,06/23/2016,Nonexempt,39312.00
Utilities,Utilities Water Accounts,Account Representative,Permanent Full-time,02/28/2022,02/28/2022,Nonexempt,39837.00
Utilities,Utilities Director's Office,Mgmt Services Administrator,Permanent Full-time,11/28/2011,08/30/2021,Exempt,82687.50
Utilities,Utilities Water Accounts,Staff Technician II,Permanent Full-time,04/30/2018,02/28/2022,Nonexempt,40362.00
Utilities,Utilities Engineering,Engineering Technician II,Permanent Full-time,02/04/2019,02/04/2019,Nonexempt,51990.28
Utilities,Utilities Water Distribution,Storekeeper II,Permanent Full-time,05/11/2019,09/25/2023,Nonexempt,43243.00
Utilities,Utilities Water Distribution,"Utility MaintenanceSupv, Sr",Permanent Full-time,01/10/2000,05/04/2024,Nonexempt,70357.00
Utilities,Utilities Water Production,Electrician III,Permanent Full-time,08/28/2012,08/28/2012,Nonexempt,55544.38
Utilities,Utilities Engineering,Construction Inspector II,Permanent Full-time,02/25/2013,02/01/2021,Nonexempt,46416.30
Utilities,Utilities Water Distribution,Crew Leader I,Permanent Full-time,06/18/2012,09/25/2021,Nonexempt,40362.00
Utilities,Utilities Water Distribution,Utility Maintenance Mech II,Permanent Full-time,07/08/2015,12/04/2023,Nonexempt,44000.00
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,11/05/2007,11/05/2007,Nonexempt,39575.00
Utilities,Utilities Engineering,Engineering Technician I,Permanent Full-time,06/15/2024,06/15/2024,Nonexempt,47365.05
Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Permanent Full-time,05/26/2020,01/02/2024,Nonexempt,41553.75
Utilities,Utilities Water Accounts,Staff Technician II,Permanent Full-time,11/13/2000,11/13/2000,Nonexempt,42979.17
Utilities,Utilities Accounting&Budget,Accountant IV,Permanent Full-time,04/22/2023,10/23/2023,Exempt,68586.00
Utilities,Utilities Water Distribution,Automotive Mechanic,Permanent Full-time,12/08/1998,12/10/2018,Nonexempt,46489.12
Utilities,Utilities Water Distribution,Administrative Assistant I,Permanent Full-time,10/20/2008,04/23/2022,Nonexempt,46517.00
Utilities,Utilities Water Production,Utility Maintenance Mech III,Permanent Full-time,03/14/2020,01/31/2022,Nonexempt,44139.34
Utilities,Utilities Water Accounts,Customer Service Manager,Permanent Full-time,02/19/2008,02/07/2022,Exempt,110412.00
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,01/23/2013,09/11/2023,Nonexempt,39575.00
Utilities,Utilities Water Distribution,Crew Leader I,Permanent Full-time,07/01/1996,08/23/2003,Nonexempt,44275.25
Utilities,Utilities Water Distribution,Equipment Operator II,Permanent Full-time,07/01/2023,07/01/2023,Nonexempt,39837.00
Utilities,Utilities Water Production,Electronics Technician II,Permanent Full-time,11/05/2022,11/05/2022,Nonexempt,50749.65
Utilities,Utilities Water Distribution,Crew Leader I,Permanent Full-time,12/13/2001,05/04/2024,Nonexempt,43532.49
Utilities,Utilities Water Quality,"Water Chemist, Senior",Permanent Full-time,03/16/1981,05/15/1996,Exempt,89636.79
Utilities,Utilities Water Distribution,Utility Maintenance Supervisor,Permanent Full-time,03/12/2001,04/01/2019,Nonexempt,52189.04
Utilities,Utilities Water Production,Programmer/Analyst V,Permanent Full-time,01/14/2002,01/14/2008,Exempt,97282.12
Utilities,Utilities Engineering,Engineering Technician I,Permanent Full-time,04/11/2005,07/18/2022,Nonexempt,48734.00
Utilities,Utilities Water Distribution,Crew Leader I,Permanent Full-time,05/26/2020,11/07/2022,Nonexempt,40362.00
Utilities,Utilities Water Distribution,Business Manager,Permanent Full-time,03/08/2004,01/17/2022,Exempt,62842.50
Utilities,Utilities Water Accounts,Account Representative,Permanent Full-time,07/17/2013,10/23/2014,Nonexempt,39837.00
